Unnamed: 0,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit,lambda,beta,tau,gamma,alpha,eps_soc,lambda_fit,beta_fit,tau_fit,par_fit
34125,3.0,71.0,VS,28.196259139516524,23.707790166764585,11.578487353768026,28.42675618097061,0.6250463427383369,0.2285306337107804,0.0045503929665213,0.0,0.6229300654108686,0.0,0.5152211352430355,0.26081074983659164,0.004517397152554065,0.414177697765825
34560,0.0,72.0,VS,124.07910195171712,35.35070050301927,34.35077998033326,163.76964834891115,0.2475274762514141,0.2717491010372202,0.015565112732906,0.0,0.3217485529925352,0.0,0.031240129132710272,0.29038600800326075,0.009124041577646132,0.1970701930891839
34575,1.0,72.0,VS,51.05341556782233,45.5491207874002,26.80976988884874,49.57031201841043,0.3649471053318977,0.5349562149302655,0.0227301984146196,0.0,0.9710704731978912,0.0,0.30451513266924723,0.5648286812048326,0.010840793731512671,0.904257746903131
34590,2.0,72.0,AS,51.45937881256622,51.56565508469666,59.830912303013896,51.95115726859108,0.387277367824168,0.4677642084689433,0.0043053905405496,0.0,0.0,0.0,0.3266350920455867,0.49278374758331567,0.0013213676928166313,
34605,3.0,72.0,AS,66.44051514193953,66.42371316568972,66.42365420704942,66.38238508398645,0.2783277882315041,0.9741272843871388,0.0079273109484924,0.0,0.0,0.0,0.04755990350423071,16.373468210031795,0.10688337535039757,
35040,0.0,73.0,VS,65.90848329714528,63.55974680495803,61.56420327977659,65.73075775902826,0.4954019601003003,0.7755595708131819,0.0295959864822555,0.0,0.3751489405221194,0.0,0.3718553596246229,0.8357962380103483,0.005045855155307349,0.2909836914923313
35055,1.0,73.0,AS,14.63185389503352,15.249237452150672,18.799227494358075,14.802352534776109,1.0573585654921442,0.3639183607882222,0.0046018274651508,0.0,0.0,0.0,1.0669361440136838,0.3572576185018834,0.004242903319125989,
35070,2.0,73.0,AS,66.23639976394855,66.26778712916864,66.43949938026392,66.26937545130941,0.3524334128538392,0.7261153806033471,0.0218043376399825,0.0,0.0,0.0,0.02885659789896257,10.92988816317143,0.06374758557221542,
35085,3.0,73.0,VS,403.7288281698071,80.87301124367485,63.10997595660692,69.62177434183467,0.4307354132142024,0.5089728820608557,0.0727896841798198,0.0,0.2030468482968072,0.0,0.3822251678016228,0.4954996027566826,0.024919628470231485,0.07142857142857141
35520,0.0,74.0,DB,57.68362876724558,48.28768202341243,59.52720452723824,57.45299908264271,0.6447838379099922,0.4709011981587694,0.0219803644182947,0.5596820252528708,0.0,0.0,0.6050903682268473,0.7458312411434296,0.01835058563667822,0.5870190755263995
35535,1.0,74.0,SG,30.437274499347456,29.84638567670084,39.82305910763708,6.386829254798712,0.8362650529776311,0.3269296846965495,0.0043173905255724,0.0,0.0,0.5828657912862264,0.8492443773898539,0.3257010762168724,0.0030667998489628937,0.662837672655972
