,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit
185280,0.0,386.0,DB,46.97436969024974,27.35451168167336,48.716791210262556,47.30253089871896
185295,1.0,386.0,DB,57.054716385711316,42.46210995520434,55.35552358094617,55.67181436036462
185310,2.0,386.0,AS,28.46635140383259,28.923079601765394,43.23585321420594,28.62042378878204
185325,3.0,386.0,VS,50.73259736652547,44.598068700793974,31.226440290552603,48.26641175062801
185760,0.0,387.0,VS,,,,
185775,1.0,387.0,VS,,,,
185790,2.0,387.0,AS,,,,
185805,3.0,387.0,AS,,,,
186240,0.0,388.0,DB,,,,
186255,1.0,388.0,AS,,,,
186270,2.0,388.0,AS,,,,
186285,3.0,388.0,DB,,,,
186720,0.0,389.0,SG,,,,
186735,1.0,389.0,VS,,,,
186750,2.0,389.0,DB,,,,
186765,3.0,389.0,AS,,,,
187200,0.0,390.0,VS,,,,
187215,1.0,390.0,DB,,,,
187230,2.0,390.0,SG,,,,
187245,3.0,390.0,DB,,,,
187680,0.0,391.0,DB,,,,
187695,1.0,391.0,DB,,,,
187710,2.0,391.0,SG,,,,
187725,3.0,391.0,SG,,,,
188160,0.0,392.0,SG,,,,
188175,1.0,392.0,AS,,,,
188190,2.0,392.0,SG,,,,
188205,3.0,392.0,DB,,,,
188640,0.0,393.0,DB,,,,
188655,1.0,393.0,AS,,,,
188670,2.0,393.0,DB,,,,
188685,3.0,393.0,DB,,,,
189120,0.0,394.0,DB,,,,
189135,1.0,394.0,DB,,,,
189150,2.0,394.0,SG,,,,
189165,3.0,394.0,SG,,,,
189600,0.0,395.0,AS,,,,
189615,1.0,395.0,DB,,,,
189630,2.0,395.0,AS,,,,
189645,3.0,395.0,DB,,,,
190080,0.0,396.0,DB,,,,
190095,1.0,396.0,VS,,,,
190110,2.0,396.0,VS,,,,
190125,3.0,396.0,AS,,,,
190560,0.0,397.0,SG,,,,
190575,1.0,397.0,DB,,,,
190590,2.0,397.0,SG,,,,
190605,3.0,397.0,SG,,,,
191040,0.0,398.0,AS,,,,
191055,1.0,398.0,SG,,,,
191070,2.0,398.0,VS,,,,
191085,3.0,398.0,AS,,,,
191520,0.0,399.0,AS,,,,
191535,1.0,399.0,DB,,,,
191550,2.0,399.0,VS,,,,
191565,3.0,399.0,SG,,,,
