,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit
54765,3.0,114.0,DB,,,,
55200,0.0,115.0,AS,,,,
55215,1.0,115.0,VS,,,,
55230,2.0,115.0,VS,,,,
55245,3.0,115.0,AS,,,,
55680,0.0,116.0,SG,,,,
55695,1.0,116.0,SG,,,,
55710,2.0,116.0,VS,,,,
55725,3.0,116.0,SG,,,,
56160,0.0,117.0,AS,,,,
56175,1.0,117.0,SG,,,,
56190,2.0,117.0,AS,,,,
56205,3.0,117.0,VS,,,,
56640,0.0,118.0,VS,,,,
56655,1.0,118.0,AS,,,,
56670,2.0,118.0,DB,,,,
56685,3.0,118.0,SG,,,,
57120,0.0,119.0,VS,,,,
57135,1.0,119.0,SG,,,,
57150,2.0,119.0,SG,,,,
57165,3.0,119.0,VS,,,,
57600,0.0,120.0,SG,,,,
57615,1.0,120.0,DB,,,,
57630,2.0,120.0,VS,,,,
57645,3.0,120.0,AS,,,,
58080,0.0,121.0,SG,,,,
58095,1.0,121.0,VS,,,,
58110,2.0,121.0,AS,,,,
58125,3.0,121.0,SG,,,,
58560,0.0,122.0,DB,,,,
58575,1.0,122.0,SG,,,,
58590,2.0,122.0,DB,,,,
58605,3.0,122.0,VS,,,,
59040,0.0,123.0,SG,,,,
59055,1.0,123.0,VS,,,,
59070,2.0,123.0,DB,,,,
59085,3.0,123.0,DB,,,,
59520,0.0,124.0,VS,,,,
59535,1.0,124.0,VS,,,,
59550,2.0,124.0,DB,,,,
59565,3.0,124.0,SG,,,,
60000,0.0,125.0,VS,,,,
60015,1.0,125.0,DB,,,,
60030,2.0,125.0,AS,,,,
60045,3.0,125.0,VS,,,,
60480,0.0,126.0,AS,,,,
60495,1.0,126.0,AS,,,,
60510,2.0,126.0,SG,,,,
60525,3.0,126.0,VS,,,,
60960,0.0,127.0,AS,,,,
60975,1.0,127.0,SG,,,,
60990,2.0,127.0,AS,,,,
61005,3.0,127.0,SG,,,,
61440,0.0,128.0,DB,,,,
61455,1.0,128.0,DB,,,,
61470,2.0,128.0,VS,,,,
61485,3.0,128.0,DB,,,,
61920,0.0,129.0,SG,,,,
61935,1.0,129.0,SG,,,,
61950,2.0,129.0,DB,,,,
61965,3.0,129.0,DB,,,,
62400,0.0,130.0,DB,,,,
62415,1.0,130.0,DB,,,,
62430,2.0,130.0,VS,,,,
62445,3.0,130.0,AS,,,,
62880,0.0,131.0,DB,,,,
62895,1.0,131.0,VS,,,,
62910,2.0,131.0,VS,,,,
62925,3.0,131.0,SG,,,,
63360,0.0,132.0,DB,,,,
63375,1.0,132.0,DB,,,,
63390,2.0,132.0,AS,,,,
63405,3.0,132.0,AS,,,,
63840,0.0,133.0,AS,,,,
63855,1.0,133.0,DB,,,,
63870,2.0,133.0,DB,,,,
63885,3.0,133.0,DB,,,,
64320,0.0,134.0,VS,,,,
64335,1.0,134.0,DB,,,,
64350,2.0,134.0,DB,,,,
64365,3.0,134.0,DB,,,,
64800,0.0,135.0,VS,,,,
64815,1.0,135.0,VS,,,,
64830,2.0,135.0,VS,,,,
64845,3.0,135.0,VS,,,,
65280,0.0,136.0,SG,,,,
65295,1.0,136.0,VS,,,,
65310,2.0,136.0,VS,,,,
65325,3.0,136.0,DB,,,,
65760,0.0,137.0,AS,,,,
65775,1.0,137.0,SG,,,,
65790,2.0,137.0,DB,,,,
65805,3.0,137.0,SG,,,,
66240,0.0,138.0,VS,,,,
66255,1.0,138.0,DB,,,,
66270,2.0,138.0,DB,,,,
66285,3.0,138.0,DB,,,,
66720,0.0,139.0,DB,,,,
66735,1.0,139.0,VS,,,,
66750,2.0,139.0,AS,,,,
66765,3.0,139.0,DB,,,,
67200,0.0,140.0,DB,,,,
67215,1.0,140.0,DB,,,,
67230,2.0,140.0,SG,,,,
67245,3.0,140.0,DB,,,,
67680,0.0,141.0,DB,,,,
67695,1.0,141.0,DB,,,,
67710,2.0,141.0,SG,,,,
67725,3.0,141.0,VS,,,,
68160,0.0,142.0,SG,,,,
68175,1.0,142.0,SG,,,,
68190,2.0,142.0,SG,,,,
68205,3.0,142.0,SG,,,,
68640,0.0,143.0,VS,,,,
68655,1.0,143.0,VS,,,,
68670,2.0,143.0,AS,,,,
68685,3.0,143.0,AS,,,,
69120,0.0,144.0,AS,,,,
69135,1.0,144.0,SG,,,,
69150,2.0,144.0,SG,,,,
69165,3.0,144.0,VS,,,,
