"","X","group","agent","trial","round","scaling","choice","isRandom","reward","payoff","rescaled","env","search_dist","soc_sd1","soc_sd2","soc_sd3","soc_sd","soc_rew1","soc_rew2","soc_rew3","soc_rew","prev_rew","RT_server","soc_choice1","soc_choice2","soc_choice3"
"297",297,6,1,11,3,72,51,0,0.8263,83,65,2,2,3,1.4142135623731,1,1.80473785412437,0.9999,0.957,0.8835,0.9468,0.9896,3012,48,61,50
"298",298,6,1,12,3,72,48,0,0.9219,92,71,2,3,1,2.23606797749979,4.12310562561766,2.45305786770582,0.9662,0.957,0.835,0.9194,0.8263,4251,59,61,41
"299",299,6,1,13,3,72,38,0,0.9737,98,76,2,1.4142135623731,2.82842712474619,1.4142135623731,1.4142135623731,1.88561808316413,0.8939,0.8522,0.7458,0.830633333333333,0.9219,3269,58,50,26
"300",300,6,1,14,3,72,37,0,0.9926,99,76,2,1,2.23606797749979,2.82842712474619,0,1.68816503408199,0.8023,0.957,0.7621,0.840466666666667,0.9737,3585,28,61,37
"301",301,6,1,0,4,71,22,1,0.7785,80,62,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",302,6,1,1,4,71,23,0,0.702,68,53,20,1,1.4142135623731,3.16227766016838,6.08276253029822,3.5530845842799,0.8067,0.3859,0.8013,0.664633333333333,0.7785,18773,11,37,88
"303",303,6,1,2,4,71,33,0,0.8636,86,66,20,1.4142135623731,2.23606797749979,6.70820393249937,3,3.98142396999972,0.7118,0.2315,0.7955,0.5796,0.702,4187,12,72,66
"304",304,6,1,3,4,71,44,0,0.8845,89,68,20,1,2,2.82842712474619,0,1.60947570824873,0.7986,0.5143,0.5819,0.6316,0.8636,5894,22,24,44
"305",305,6,1,4,4,71,55,0,0.7856,78,60,20,1,2,2.23606797749979,2.23606797749979,2.15737865166653,0.8598,0.5959,0.9347,0.7968,0.8845,3162,33,78,78
"306",306,6,1,5,4,71,45,0,0.7932,79,61,20,1.4142135623731,1,1.4142135623731,3.16227766016838,1.85883040751382,0.878,0.8027,0.839,0.8399,0.7856,2790,44,55,79
"307",307,6,1,6,4,71,34,0,0.795,77,60,20,1,0,1,4.12310562561766,1.70770187520589,0.9042,0.719,0.8127,0.811966666666667,0.7932,3035,34,33,77
"308",308,6,1,7,4,71,56,0,0.6481,64,50,20,2,2.23606797749979,2.23606797749979,3,2.49071198499986,0.8371,0.7539,0.8386,0.809866666666667,0.795,4974,35,77,89
"309",309,6,1,8,4,71,11,0,0.8153,82,63,20,4.12310562561766,3.16227766016838,7,5.09901951359278,5.08709905792039,1,0.8931,0.9873,0.960133333333333,0.6481,3134,45,88,67
"310",310,6,1,9,4,71,66,0,0.7553,77,60,20,5,1.4142135623731,3,2,2.1380711874577,0.9173,1,0.9621,0.9598,0.8153,3010,56,99,68
"311",311,6,1,10,4,71,77,0,0.873,88,67,20,1,3,3,2.82842712474619,2.94280904158206,0.878,0.8947,0.9412,0.904633333333333,0.7553,3155,44,110,57
"312",312,6,1,11,4,71,88,0,0.9932,98,75,20,1,3,1,4.24264068711928,2.74754689570643,0.7875,1,0.7703,0.8526,0.873,3776,55,99,58
"313",313,6,1,12,4,71,99,0,1,101,77,20,1,5.3851648071345,0,4.12310562561766,3.16942347758405,0.9147,1,0.9071,0.9406,0.9932,3524,46,99,56
"314",314,6,1,13,4,71,110,0,0.8967,89,68,20,1,5.3851648071345,1,5,3.7950549357115,0.8273,1,0.7437,0.857,1,3101,57,99,69
"315",315,6,1,14,4,71,89,0,0.8446,86,66,20,2.23606797749979,4.47213595499958,1.4142135623731,4.12310562561766,3.33648504766344,0.6235,1,0.8212,0.8149,0.8967,4007,47,99,46
"316",316,6,1,0,5,67,56,1,0.6611,67,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",317,6,1,1,5,67,9,0,0.5166,52,40,30,9.4339811320566,12.8062484748657,9.8488578017961,6.40312423743285,9.68607683803155,0.4805,0.7398,0.8381,0.686133333333333,0.6611,1936,111,44,48
"318",318,6,1,2,5,67,12,0,0.7507,76,56,30,8.06225774829855,5,4.24264068711928,3.60555127546399,4.28273065419442,0.6999,0.7304,0.989,0.806433333333333,0.5166,4716,49,48,47
"319",319,6,1,3,5,67,23,0,0.9191,92,67,30,1,7.07106781186548,4,2.23606797749979,4.43571192978842,0.3062,0.808,0.9783,0.6975,0.7507,3458,41,67,46
"320",320,6,1,4,5,67,34,0,0.9583,96,69,30,1,2.23606797749979,3.60555127546399,1,2.28053975098793,0.7187,0.9382,0.9166,0.857833333333333,0.9191,2943,47,69,45
"321",321,6,1,5,5,67,45,0,0.8388,85,62,30,1,0,3.60555127546399,1.4142135623731,1.67325494594569,0.6096,0.9857,0.9624,0.852566666666667,0.9583,2651,45,70,57
"322",322,6,1,6,5,67,22,0,0.7942,79,58,30,2.23606797749979,3,6.40312423743285,4.24264068711928,4.54858830818404,0.6989,0.9563,1,0.885066666666667,0.8388,4571,25,81,58
"323",323,6,1,7,5,67,44,0,0.7427,75,55,30,2,7.61577310586391,5.3851648071345,2.23606797749979,5.0790019634994,0.5828,1,0.8807,0.821166666666667,0.7942,3101,84,71,35
"324",324,6,1,8,5,67,33,0,0.8419,84,61,30,1,6.40312423743285,6.70820393249937,3.60555127546399,5.5722931484654,0.7401,0.9197,0.6884,0.782733333333333,0.7427,4357,92,72,68
"325",325,6,1,9,5,67,35,0,0.9534,95,69,30,2,5,5,2.23606797749979,4.07868932583326,0.5982,0.9458,0.8603,0.801433333333333,0.8419,3885,90,82,56
"326",326,6,1,10,5,67,36,0,0.8864,88,64,30,1,4.12310562561766,2.82842712474619,2.23606797749979,3.06253357595455,0.9339,0.9644,0.8808,0.926366666666667,0.9534,3252,81,60,59
"327",327,6,1,11,5,67,24,0,0.9911,101,73,30,1.4142135623731,4.47213595499958,3.60555127546399,1.4142135623731,3.16396693094556,1,0.8739,0.846,0.906633333333333,0.8864,3108,70,59,36
"328",328,6,1,12,5,67,25,0,1,99,71,30,1,3.16227766016838,4.24264068711928,4,3.80163944909589,0.8963,0.9285,0.7251,0.849966666666667,0.9911,3099,59,61,69
"329",329,6,1,13,5,67,14,0,0.9241,92,67,30,1,5.3851648071345,6.70820393249937,8.60232526704263,6.89856466889217,0.9889,0.8729,0.4532,0.771666666666667,1,3508,71,83,96
"330",330,6,1,14,5,67,26,0,0.9704,97,70,30,1.4142135623731,5.09901951359278,5.09901951359278,5.09901951359278,5.09901951359278,0.9096,0.9528,0.5631,0.8085,0.9241,6759,82,80,82
"331",331,6,1,0,6,72,33,1,0.5083,50,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",332,6,1,1,6,72,64,0,0.6523,66,53,19,9.21954445729289,8.24621125123532,2.23606797749979,5.8309518948453,5.43774370786014,0.0867,0.3955,0.0216,0.167933333333333,0.5083,2802,78,85,116
"333",333,6,1,2,6,72,75,0,0.5972,61,49,19,1,3.16227766016838,6.32455532033676,3.60555127546399,4.36412808532304,0.283,0.8315,0.3332,0.482566666666667,0.6523,4212,41,47,40
"334",334,6,1,3,6,72,20,0,0.6236,62,50,19,5,7.07106781186548,7.61577310586391,5,6.56228030590979,0.3969,0.6728,0.6744,0.581366666666667,0.5972,5200,96,46,75
"335",335,6,1,4,6,72,72,0,0.4055,39,33,19,5.8309518948453,5,4.24264068711928,3.16227766016838,4.13497278242922,0.9572,0.8384,0.7125,0.836033333333333,0.6236,3383,25,36,86
"336",336,6,1,5,6,72,54,0,0.6334,65,52,19,4.47213595499958,7.07106781186548,7.28010988928052,4.12310562561766,6.15809444225455,0.8586,0.8116,0.632,0.7674,0.4055,3681,36,25,97
"337",337,6,1,6,6,72,87,0,0.4933,48,40,19,3,7.81024967590665,9.4339811320566,3,6.74807693598775,0.7106,0.7785,0.5949,0.694666666666667,0.6334,3241,26,24,84
