"","X","group","agent","trial","round","scaling","isRandom","reward","payoff","rescaled","env","soc_sd","soc_rew","prev_rew","RT_server","soc_choice","social"
"1075",1075,6,1,13,1,68,0,0.6746,67,51,18,7.21110255092798,0.8844,0.8369,4795,52,1
"1076",1076,6,1,13,1,68,0,0.6746,67,51,18,1.4142135623731,0.9471,0.8369,4795,104,1
"1077",1077,6,1,14,1,68,0,0.7053,72,54,18,3,0.6746,0.6746,3329,117,0
"1078",1078,6,1,14,1,68,0,0.7053,72,54,18,4.47213595499958,0.9942,0.6746,3329,75,1
"1079",1079,6,1,14,1,68,0,0.7053,72,54,18,5,0.4435,0.6746,3329,76,1
"1080",1080,6,1,14,1,68,0,0.7053,72,54,18,3,0.7047,0.6746,3329,114,1
"1081",1081,6,1,0,2,74,1,0.1682,16,17,15,NA,NA,NA,NA,105,0
"1082",1082,6,1,0,2,74,1,0.1682,16,17,15,NA,NA,NA,NA,NA,1
"1083",1083,6,1,0,2,74,1,0.1682,16,17,15,NA,NA,NA,NA,NA,1
"1084",1084,6,1,0,2,74,1,0.1682,16,17,15,NA,NA,NA,NA,NA,1
"1085",1085,6,1,1,2,74,0,0.05,2,6,15,9.4339811320566,0.1682,0.1682,2435,12,0
"1086",1086,6,1,1,2,74,0,0.05,2,6,15,5,0.6186,0.1682,2435,17,1
"1087",1087,6,1,1,2,74,0,0.05,2,6,15,6,0.5788,0.1682,2435,18,1
"1088",1088,6,1,1,2,74,0,0.05,2,6,15,4.12310562561766,0.2785,0.1682,2435,27,1
"1089",1089,6,1,2,2,74,0,0.4794,48,41,15,8.06225774829855,0.05,0.05,5156,63,0
"1090",1090,6,1,2,2,74,0,0.4794,48,41,15,2,0.3095,0.05,5156,61,1
"1091",1091,6,1,2,2,74,0,0.4794,48,41,15,3.16227766016838,0.5073,0.05,5156,49,1
"1092",1092,6,1,2,2,74,0,0.4794,48,41,15,4.24264068711928,0.7507,0.05,5156,93,1
"1093",1093,6,1,3,2,74,0,0.7296,72,58,15,4,0.4794,0.4794,3879,19,0
"1094",1094,6,1,3,2,74,0,0.7296,72,58,15,7.81024967590665,0.6602,0.4794,3879,80,1
"1095",1095,6,1,3,2,74,0,0.7296,72,58,15,7.21110255092798,0.333,0.4794,3879,57,1
"1096",1096,6,1,3,2,74,0,0.7296,72,58,15,8.54400374531753,0.7507,0.4794,3879,104,1
"1097",1097,6,1,4,2,74,0,0.5052,51,43,15,1,0.7296,0.7296,3816,18,0
"1098",1098,6,1,4,2,74,0,0.5052,51,43,15,7.81024967590665,0.6109,0.7296,3816,79,1
"1099",1099,6,1,4,2,74,0,0.5052,51,43,15,4.12310562561766,0.2259,0.7296,3816,63,1
"1100",1100,6,1,4,2,74,0,0.5052,51,43,15,8.54400374531753,0.8909,0.7296,3816,103,1
"1101",1101,6,1,5,2,74,0,0.825,83,66,15,2,0.5052,0.5052,4384,20,0
"1102",1102,6,1,5,2,74,0,0.825,83,66,15,7.81024967590665,0.7557,0.5052,4384,81,1
"1103",1103,6,1,5,2,74,0,0.825,83,66,15,8.60232526704263,0.9135,0.5052,4384,92,1
"1104",1104,6,1,5,2,74,0,0.825,83,66,15,10,0.9855,0.5052,4384,102,1
"1105",1105,6,1,6,2,74,0,0.6899,68,55,15,1,0.825,0.825,3567,21,0
"1106",1106,6,1,6,2,74,0,0.6899,68,55,15,7.81024967590665,0.8007,0.825,3567,82,1
"1107",1107,6,1,6,2,74,0,0.6899,68,55,15,10,0.9488,0.825,3567,103,1
"1108",1108,6,1,6,2,74,0,0.6899,68,55,15,11.3137084989848,0.9984,0.825,3567,101,1
"1109",1109,6,1,7,2,74,0,0.781,79,63,15,1.4142135623731,0.6899,0.6899,4132,31,0
"1110",1110,6,1,7,2,74,0,0.781,79,63,15,7.21110255092798,0.7439,0.6899,4132,93,1
"1111",1111,6,1,7,2,74,0,0.781,79,63,15,8.48528137423857,0.9978,0.6899,4132,91,1
"1112",1112,6,1,7,2,74,0,0.781,79,63,15,10.6301458127346,0.9036,0.6899,4132,100,1
"1113",1113,6,1,8,2,74,0,0.7325,74,60,15,1,0.781,0.781,3467,42,0
"1114",1114,6,1,8,2,74,0,0.7325,74,60,15,5,0.7156,0.781,3467,83,1
"1115",1115,6,1,8,2,74,0,0.7325,74,60,15,8.48528137423857,1,0.781,3467,102,1
"1116",1116,6,1,8,2,74,0,0.7325,74,60,15,8.60232526704263,0.9789,0.781,3467,90,1
"1117",1117,6,1,9,2,74,0,0.795,80,64,15,3,0.7325,0.7325,3412,9,0
"1118",1118,6,1,9,2,74,0,0.795,80,64,15,9.8488578017961,0.6877,0.7325,3412,104,1
"1119",1119,6,1,9,2,74,0,0.795,80,64,15,10.816653826392,1,0.7325,3412,102,1
"1120",1120,6,1,9,2,74,0,0.795,80,64,15,10,1,0.7325,3412,91,1
"1121",1121,6,1,10,2,74,0,0.7201,71,58,15,1,0.795,0.795,3507,10,0
"1122",1122,6,1,10,2,74,0,0.7201,71,58,15,10,0.6399,0.795,3507,92,1
"1123",1123,6,1,10,2,74,0,0.7201,71,58,15,10.6301458127346,0.9978,0.795,3507,91,1
"1124",1124,6,1,10,2,74,0,0.7201,71,58,15,12.2065556157337,0.857,0.795,3507,113,1
"1125",1125,6,1,11,2,74,0,0.7153,72,58,15,2,0.7201,0.7201,3540,8,0
"1126",1126,6,1,11,2,74,0,0.7153,72,58,15,7.21110255092798,0.7696,0.7201,3540,70,1
"1127",1127,6,1,11,2,74,0,0.7153,72,58,15,10.295630140987,1,0.7201,3540,102,1
"1128",1128,6,1,11,2,74,0,0.7153,72,58,15,8.60232526704263,0.8468,0.7201,3540,80,1
"1129",1129,6,1,12,2,74,0,0.7018,71,58,15,2,0.7153,0.7153,4398,30,0
"1130",1130,6,1,12,2,74,0,0.7018,71,58,15,5.8309518948453,0.5986,0.7153,4398,58,1
"1131",1131,6,1,12,2,74,0,0.7018,71,58,15,9.21954445729289,0.9497,0.7153,4398,101,1
"1132",1132,6,1,12,2,74,0,0.7018,71,58,15,10,0.875,0.7153,4398,112,1
"1133",1133,6,1,13,2,74,0,0.6366,65,53,15,2,0.7018,0.7018,3310,32,0
"1134",1134,6,1,13,2,74,0,0.6366,65,53,15,7.21110255092798,0.7633,0.7018,3310,94,1
"1135",1135,6,1,13,2,74,0,0.6366,65,53,15,10,0.9487,0.7018,3310,90,1
"1136",1136,6,1,13,2,74,0,0.6366,65,53,15,10.816653826392,0.8481,0.7018,3310,89,1
"1137",1137,6,1,14,2,74,0,0.6572,66,54,15,2.23606797749979,0.6366,0.6366,3007,41,0
"1138",1138,6,1,14,2,74,0,0.6572,66,54,15,6.32455532033676,0.7465,0.6366,3007,105,1
"1139",1139,6,1,14,2,74,0,0.6572,66,54,15,7.81024967590665,1,0.6366,3007,102,1
"1140",1140,6,1,14,2,74,0,0.6572,66,54,15,6.40312423743285,0.9132,0.6366,3007,92,1
"1141",1141,6,1,0,3,72,1,0.8477,85,66,2,NA,NA,NA,NA,72,0
"1142",1142,6,1,0,3,72,1,0.8477,85,66,2,NA,NA,NA,NA,NA,1
"1143",1143,6,1,0,3,72,1,0.8477,85,66,2,NA,NA,NA,NA,NA,1
